sessionID,sessionStateID,userID,artistID,sessionStateStatus,sessionStateDateCreated,sessionStateDateUpdated,tickStateID,tickStateStatus,tickStateDateCreated,tickStateDateUpdated,tickID,tickType,tickHandler,tickStateResult
2,71672,,,2,"2024-12-06 09:04","2024-12-06 09:06",632943,5,"2024-12-06 09:05","2024-12-06 09:05",38,2,,"{
    ""value"": ""HY2""
}"
2,71669,,,2,"2024-12-06 08:19","2024-12-14 07:48",632929,5,"2024-12-06 08:19","2024-12-06 08:19",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71669,,,2,"2024-12-06 08:19","2024-12-14 07:48",632928,5,"2024-12-06 08:19","2024-12-06 08:19",38,2,,"{
    ""value"": ""Mohit""
}"
2,71664,,,2,"2024-12-06 05:46","2024-12-06 05:46",632904,5,"2024-12-06 05:46","2024-12-06 05:46",38,2,,"{
    ""value"": ""Leto Mawethu""
}"
2,71648,,,2,"2024-12-06 03:46","2024-12-06 03:47",632734,5,"2024-12-06 03:47","2024-12-06 03:47",72,1,,"{
    ""result"": 1
}"
2,71648,,,2,"2024-12-06 03:46","2024-12-06 03:47",632732,5,"2024-12-06 03:47","2024-12-06 03:47",42,2,,"{
    ""value"": ""he\/him"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""He\/Him""
        }
    ]
}"
2,71648,,,2,"2024-12-06 03:46","2024-12-06 03:47",632730,5,"2024-12-06 03:47","2024-12-06 03:47",40,4,,"{
    ""spotify"": {
        ""external_urls"": {
            ""spotify"": ""https:\/\/open.spotify.com\/artist\/28RaP8VNqg2Fvm5ZUmBg75""
        },
        ""followers"": {
            ""href"": null,
            ""total"": 7
        },
        ""genres"": [],
        ""href"": ""https:\/\/api.spotify.com\/v1\/artists\/28RaP8VNqg2Fvm5ZUmBg75?locale=*"",
        ""id"": ""28RaP8VNqg2Fvm5ZUmBg75"",
        ""images"": [
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab6761610000e5eb54f1ac6753d6bef438c76f86"",
                ""height"": 640,
                ""width"": 640
            },
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab6761610000517454f1ac6753d6bef438c76f86"",
                ""height"": 320,
                ""width"": 320
            },
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab6761610000f17854f1ac6753d6bef438c76f86"",
                ""height"": 160,
                ""width"": 160
            }
        ],
        ""name"": ""yongdave"",
        ""popularity"": 0,
        ""type"": ""artist"",
        ""uri"": ""spotify:artist:28RaP8VNqg2Fvm5ZUmBg75""
    }
}"
2,71648,,,2,"2024-12-06 03:46","2024-12-06 03:47",632729,5,"2024-12-06 03:46","2024-12-06 03:46",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71648,,,2,"2024-12-06 03:46","2024-12-06 03:47",632728,5,"2024-12-06 03:46","2024-12-06 03:46",38,2,,"{
    ""value"": ""Yongdave""
}"
2,71637,,,2,"2024-12-06 02:37","2024-12-06 02:37",632648,5,"2024-12-06 02:37","2024-12-06 02:37",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71637,,,2,"2024-12-06 02:37","2024-12-06 02:37",632647,5,"2024-12-06 02:37","2024-12-06 02:37",38,2,,"{
    ""value"": ""Fu""
}"
2,71636,,,2,"2024-12-06 01:54","2024-12-06 01:56",632646,5,"2024-12-06 01:56","2024-12-06 01:56",72,1,,"{
    ""result"": 1
}"
2,71636,,,2,"2024-12-06 01:54","2024-12-06 01:56",632644,5,"2024-12-06 01:56","2024-12-06 01:56",42,2,,"{
    ""value"": ""he\/him"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""He\/Him""
        }
    ]
}"
2,71636,,,2,"2024-12-06 01:54","2024-12-06 01:56",632642,5,"2024-12-06 01:56","2024-12-06 01:56",40,4,,"{
    ""spotify"": {
        ""external_urls"": {
            ""spotify"": ""https:\/\/open.spotify.com\/artist\/0EtNTH16439wzLpfurwMuA""
        },
        ""followers"": {
            ""href"": null,
            ""total"": 1
        },
        ""genres"": [],
        ""href"": ""https:\/\/api.spotify.com\/v1\/artists\/0EtNTH16439wzLpfurwMuA?locale=*"",
        ""id"": ""0EtNTH16439wzLpfurwMuA"",
        ""images"": [],
        ""name"": ""XEFF"",
        ""popularity"": 0,
        ""type"": ""artist"",
        ""uri"": ""spotify:artist:0EtNTH16439wzLpfurwMuA""
    }
}"
2,71636,,,2,"2024-12-06 01:54","2024-12-06 01:56",632641,5,"2024-12-06 01:55","2024-12-06 01:55",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71636,,,2,"2024-12-06 01:54","2024-12-06 01:56",632640,5,"2024-12-06 01:55","2024-12-06 01:55",38,2,,"{
    ""value"": ""Xeff""
}"
2,71610,,,2,"2024-12-05 23:28","2024-12-05 23:28",632383,5,"2024-12-05 23:28","2024-12-05 23:28",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71610,,,2,"2024-12-05 23:28","2024-12-05 23:28",632382,5,"2024-12-05 23:28","2024-12-05 23:28",38,2,,"{
    ""value"": ""BOY LS""
}"
2,71607,,,2,"2024-12-05 23:04","2024-12-05 23:05",632366,5,"2024-12-05 23:05","2024-12-05 23:05",72,1,,"{
    ""result"": 1
}"
2,71607,,,2,"2024-12-05 23:04","2024-12-05 23:05",632364,5,"2024-12-05 23:05","2024-12-05 23:05",42,2,,"{
    ""value"": ""he\/him"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""He\/Him""
        }
    ]
}"
2,71607,,,2,"2024-12-05 23:04","2024-12-05 23:05",632362,5,"2024-12-05 23:05","2024-12-05 23:05",40,4,,"{
    ""spotify"": {
        ""external_urls"": {
            ""spotify"": ""https:\/\/open.spotify.com\/artist\/4RmQ7RmhDf5tDx8xZe2ldm""
        },
        ""followers"": {
            ""href"": null,
            ""total"": 1880
        },
        ""genres"": [
            ""hindi hip hop""
        ],
        ""href"": ""https:\/\/api.spotify.com\/v1\/artists\/4RmQ7RmhDf5tDx8xZe2ldm?locale=*"",
        ""id"": ""4RmQ7RmhDf5tDx8xZe2ldm"",
        ""images"": [
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab6761610000e5eba3e78f905fb3639c212004aa"",
                ""height"": 640,
                ""width"": 640
            },
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab67616100005174a3e78f905fb3639c212004aa"",
                ""height"": 320,
                ""width"": 320
            },
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab6761610000f178a3e78f905fb3639c212004aa"",
                ""height"": 160,
                ""width"": 160
            }
        ],
        ""name"": ""Ace aka Mumbai"",
        ""popularity"": 17,
        ""type"": ""artist"",
        ""uri"": ""spotify:artist:4RmQ7RmhDf5tDx8xZe2ldm""
    }
}"
2,71607,,,2,"2024-12-05 23:04","2024-12-05 23:05",632348,5,"2024-12-05 23:04","2024-12-05 23:04",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71607,,,2,"2024-12-05 23:04","2024-12-05 23:05",632345,5,"2024-12-05 23:04","2024-12-05 23:04",38,2,,"{
    ""value"": ""Ace""
}"
2,71555,,,2,"2024-12-05 19:19","2024-12-05 19:19",631832,5,"2024-12-05 19:19","2024-12-05 19:19",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71555,,,2,"2024-12-05 19:19","2024-12-05 19:19",631831,5,"2024-12-05 19:19","2024-12-05 19:19",38,2,,"{
    ""value"": ""Elodie Papi""
}"
2,71548,,,2,"2024-12-05 18:19","2024-12-05 18:20",631816,5,"2024-12-05 18:20","2024-12-05 18:20",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71548,,,2,"2024-12-05 18:19","2024-12-05 18:20",631815,5,"2024-12-05 18:20","2024-12-05 18:20",38,2,,"{
    ""value"": ""Deon""
}"
2,71542,,,2,"2024-12-05 18:03","2024-12-05 18:04",631771,5,"2024-12-05 18:04","2024-12-05 18:04",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71542,,,2,"2024-12-05 18:03","2024-12-05 18:04",631770,5,"2024-12-05 18:03","2024-12-05 18:03",38,2,,"{
    ""value"": ""Shrish""
}"
2,71531,,,2,"2024-12-05 17:01","2024-12-05 17:02",631646,5,"2024-12-05 17:02","2024-12-05 17:02",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71531,,,2,"2024-12-05 17:01","2024-12-05 17:02",631645,5,"2024-12-05 17:02","2024-12-05 17:02",38,2,,"{
    ""value"": ""Kunal""
}"
2,71528,,,2,"2024-12-05 15:45","2024-12-05 15:50",631632,5,"2024-12-05 15:50","2024-12-05 15:50",72,1,,"{
    ""result"": 1
}"
2,71528,,,2,"2024-12-05 15:45","2024-12-05 15:50",631621,5,"2024-12-05 15:47","2024-12-05 15:47",42,2,,"{
    ""value"": ""he\/him"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""He\/Him""
        }
    ]
}"
2,71528,,,2,"2024-12-05 15:45","2024-12-05 15:50",631614,5,"2024-12-05 15:46","2024-12-05 15:46",40,4,,"{
    ""spotify"": {
        ""external_urls"": {
            ""spotify"": ""https:\/\/open.spotify.com\/artist\/42fT9TPb2c7pXuURPFKXWA""
        },
        ""followers"": {
            ""href"": null,
            ""total"": 1
        },
        ""genres"": [],
        ""href"": ""https:\/\/api.spotify.com\/v1\/artists\/42fT9TPb2c7pXuURPFKXWA?locale=*"",
        ""id"": ""42fT9TPb2c7pXuURPFKXWA"",
        ""images"": [],
        ""name"": ""Vince Franklin"",
        ""popularity"": 0,
        ""type"": ""artist"",
        ""uri"": ""spotify:artist:42fT9TPb2c7pXuURPFKXWA""
    }
}"
2,71528,,,2,"2024-12-05 15:45","2024-12-05 15:50",631612,5,"2024-12-05 15:46","2024-12-05 15:46",39,2,,"{
    ""value"": ""team_member"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Team member""
        }
    ]
}"
2,71528,,,2,"2024-12-05 15:45","2024-12-05 15:50",631611,5,"2024-12-05 15:46","2024-12-05 15:46",38,2,,"{
    ""value"": ""Marpheus""
}"
2,71527,,,2,"2024-12-05 15:33","2024-12-05 15:33",631610,5,"2024-12-05 15:33","2024-12-05 15:33",38,2,,"{
    ""value"": ""LIAM""
}"
2,71505,,,2,"2024-12-05 10:37","2024-12-05 10:38",631355,5,"2024-12-05 10:38","2024-12-05 10:38",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71505,,,2,"2024-12-05 10:37","2024-12-05 10:38",631354,5,"2024-12-05 10:38","2024-12-05 10:38",38,2,,"{
    ""value"": ""Base""
}"
2,71499,,,2,"2024-12-05 09:36","2024-12-05 09:36",631299,5,"2024-12-05 09:36","2024-12-05 09:36",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71499,,,2,"2024-12-05 09:36","2024-12-05 09:36",631296,5,"2024-12-05 09:36","2024-12-05 09:36",38,2,,"{
    ""value"": ""Nvmeless""
}"
2,71491,,,2,"2024-12-05 09:10","2024-12-05 09:11",631220,5,"2024-12-05 09:11","2024-12-05 09:11",72,1,,"{
    ""result"": 1
}"
2,71491,,,2,"2024-12-05 09:10","2024-12-05 09:11",631218,5,"2024-12-05 09:11","2024-12-05 09:11",42,2,,"{
    ""value"": ""he\/him"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""He\/Him""
        }
    ]
}"
2,71491,,,2,"2024-12-05 09:10","2024-12-05 09:11",631216,5,"2024-12-05 09:11","2024-12-05 09:11",40,4,,"{
    ""spotify"": {
        ""external_urls"": {
            ""spotify"": ""https:\/\/open.spotify.com\/artist\/0lXGxKPIHw2aL3CeYm9rrH""
        },
        ""followers"": {
            ""href"": null,
            ""total"": 88
        },
        ""genres"": [],
        ""href"": ""https:\/\/api.spotify.com\/v1\/artists\/0lXGxKPIHw2aL3CeYm9rrH?locale=*"",
        ""id"": ""0lXGxKPIHw2aL3CeYm9rrH"",
        ""images"": [
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab67616d0000b27327f52fe2e29062b976c98ef1"",
                ""height"": 640,
                ""width"": 640
            },
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab67616d00001e0227f52fe2e29062b976c98ef1"",
                ""height"": 300,
                ""width"": 300
            },
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab67616d0000485127f52fe2e29062b976c98ef1"",
                ""height"": 64,
                ""width"": 64
            }
        ],
        ""name"": ""Koffe"",
        ""popularity"": 15,
        ""type"": ""artist"",
        ""uri"": ""spotify:artist:0lXGxKPIHw2aL3CeYm9rrH""
    }
}"
2,71491,,,2,"2024-12-05 09:10","2024-12-05 09:11",631215,5,"2024-12-05 09:10","2024-12-05 09:10",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
2,71491,,,2,"2024-12-05 09:10","2024-12-05 09:11",631214,5,"2024-12-05 09:10","2024-12-05 09:10",38,2,,"{
    ""value"": ""Koffe""
}"
2,71489,,,2,"2024-12-05 06:32","2024-12-05 06:33",631213,5,"2024-12-05 06:33","2024-12-05 06:33",72,1,,"{
    ""result"": 1
}"
2,71489,,,2,"2024-12-05 06:32","2024-12-05 06:33",631211,5,"2024-12-05 06:33","2024-12-05 06:33",42,2,,"{
    ""value"": ""he\/him"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""He\/Him""
        }
    ]
}"
2,71489,,,2,"2024-12-05 06:32","2024-12-05 06:33",631209,5,"2024-12-05 06:32","2024-12-05 06:32",40,4,,"{
    ""spotify"": {
        ""external_urls"": {
            ""spotify"": ""https:\/\/open.spotify.com\/artist\/55CcVCUn0vk3b6Hw4Y3QEj""
        },
        ""followers"": {
            ""href"": null,
            ""total"": 77
        },
        ""genres"": [],
        ""href"": ""https:\/\/api.spotify.com\/v1\/artists\/55CcVCUn0vk3b6Hw4Y3QEj?locale=*"",
        ""id"": ""55CcVCUn0vk3b6Hw4Y3QEj"",
        ""images"": [
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab6761610000e5eb3356e8589df78e3992a1aebc"",
                ""height"": 640,
                ""width"": 640
            },
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab676161000051743356e8589df78e3992a1aebc"",
                ""height"": 320,
                ""width"": 320
            },
            {
                ""url"": ""https:\/\/i.scdn.co\/image\/ab6761610000f1783356e8589df78e3992a1aebc"",
                ""height"": 160,
                ""width"": 160
            }
        ],
        ""name"": ""Sahil Khan Music"",
        ""popularity"": 7,
        ""type"": ""artist"",
        ""uri"": ""spotify:artist:55CcVCUn0vk3b6Hw4Y3QEj""
    }
}"
2,71489,,,2,"2024-12-05 06:32","2024-12-05 06:33",631208,5,"2024-12-05 06:32","2024-12-05 06:32",39,2,,"{
    ""value"": ""artist"",
    ""valueDetails"": [
        {
            ""type"": ""fixed"",
            ""value"": ""Artist""
        }
    ]
}"
